Name,Symbol
Bitcoin,BTC
Ethereum,ETH
Litecoin,LTC
EOS,EOS
bitcoin-cash,BCH
Stellar,XLM
TRON,TRX
Cardano,ADA
Monero,XMR
IOTA,MIOTA
Dash,DASH
Maker,MKR
NEO,NEO
Ontology,ONT
NEM,XEM
Zcash,ZEC
VeChain,VET
Waves,WAVES
Tezos,XTZ
Qtum,QTUM
OmiseGO,OMG
Decred,DCR
Lisk,LSK
DigiByte,DGB
0x,ZRX
Zilliqa,ZIL
ICON,ICX
Bytecoin,BCN
Steem,STEEM
THETA,THETA
Aeternity,AE
Pundix,NPXS
Siacoin,SC
Huobi,HT
Ravencoin,RVN
Golem,GNT
Ark,ARK
KuCoin,KCS
Factom,FCT
MaidSafeCoin,MAID
Waltonchain,WTC
Wanchain,WAN
Decentraland,MANA
PIVX,PIVX
aelf,ELF
Aion,AION
